Date,length.cm,species
12/04/06,10,SeaBass
12/04/06,10,SeaBass
12/04/06,10.5,SeaBass
12/04/06,10.5,SeaBass
12/04/06,10.5,SeaBass
12/04/06,10.5,SeaBass
12/04/06,10.5,SeaBass
12/04/06,10.5,SeaBass
12/04/06,10.5,SeaBass
12/04/06,10.5,SeaBass
12/04/06,11,SeaBass
12/04/06,11,SeaBass
12/04/06,11,SeaBass
26/04/06,7.5,SeaBass
26/04/06,8.5,SeaBass
26/04/06,8.5,SeaBass
26/04/06,9,SeaBass
26/04/06,9.5,SeaBass
26/04/06,9.5,SeaBass
26/04/06,9.5,SeaBass
26/04/06,9.5,SeaBass
26/04/06,10,SeaBass
26/04/06,11.5,SeaBass
10/05/06,11,SeaBass
10/05/06,11.5,SeaBass
10/05/06,28,SeaBass
24/05/06,5.5,SeaBass
24/05/06,7.5,SeaBass
24/05/06,8,SeaBass
24/05/06,8,SeaBass
24/05/06,8.5,SeaBass
24/05/06,9,SeaBass
24/05/06,9,SeaBass
24/05/06,9,SeaBass
24/05/06,9,SeaBass
24/05/06,9,SeaBass
24/05/06,9,SeaBass
24/05/06,9.5,SeaBass
24/05/06,9.5,SeaBass
24/05/06,9.5,SeaBass
24/05/06,10,SeaBass
24/05/06,10,SeaBass
24/05/06,10,SeaBass
24/05/06,10.5,SeaBass
24/05/06,10.5,SeaBass
24/05/06,10.5,SeaBass
24/05/06,11,SeaBass
24/05/06,12,SeaBass
07/06/06,10.5,SeaBass
07/06/06,11,SeaBass
21/06/06,9.5,SeaBass
21/06/06,9.5,SeaBass
21/06/06,9.5,SeaBass
21/06/06,10,SeaBass
21/06/06,10.5,SeaBass
21/06/06,10.5,SeaBass
21/06/06,10.5,SeaBass
21/06/06,11.5,SeaBass
21/06/06,11.5,SeaBass
21/06/06,11.5,SeaBass
21/06/06,11.5,SeaBass
21/06/06,12,SeaBass
21/06/06,19.5,SeaBass
02/08/06,3,SeaBass
02/08/06,3,SeaBass
02/08/06,5,SeaBass
30/08/06,3,SeaBass
30/08/06,3,SeaBass
30/08/06,3.5,SeaBass
30/08/06,3.5,SeaBass
30/08/06,4,SeaBass
30/08/06,4,SeaBass
30/08/06,4,SeaBass
30/08/06,4,SeaBass
30/08/06,4.5,SeaBass
30/08/06,4.5,SeaBass
30/08/06,5,SeaBass
30/08/06,5,SeaBass
30/08/06,5,SeaBass
30/08/06,5,SeaBass
30/08/06,5,SeaBass
30/08/06,5,SeaBass
30/08/06,5,SeaBass
30/08/06,5,SeaBass
30/08/06,5.5,SeaBass
30/08/06,5.5,SeaBass
30/08/06,5.5,SeaBass
30/08/06,5.5,SeaBass
30/08/06,5.5,SeaBass
30/08/06,5.5,SeaBass
30/08/06,5.5,SeaBass
30/08/06,5.5,SeaBass
30/08/06,5.5,SeaBass
30/08/06,5.5,SeaBass
30/08/06,5.5,SeaBass
30/08/06,6,SeaBass
30/08/06,6,SeaBass
30/08/06,6,SeaBass
30/08/06,6,SeaBass
30/08/06,6,SeaBass
30/08/06,6,SeaBass
30/08/06,6,SeaBass
30/08/06,6,SeaBass
30/08/06,6,SeaBass
30/08/06,6,SeaBass
30/08/06,6,SeaBass
30/08/06,6,SeaBass
30/08/06,6,SeaBass
30/08/06,6.5,SeaBass
30/08/06,6.5,SeaBass
30/08/06,6.5,SeaBass
30/08/06,6.5,SeaBass
30/08/06,6.5,SeaBass
30/08/06,6.5,SeaBass
30/08/06,7.5,SeaBass
30/08/06,17.5,SeaBass
13/09/06,3.5,SeaBass
13/09/06,4,SeaBass
13/09/06,4,SeaBass
13/09/06,4,SeaBass
13/09/06,4.5,SeaBass
13/09/06,4.5,SeaBass
13/09/06,5,SeaBass
13/09/06,5,SeaBass
13/09/06,5,SeaBass
13/09/06,5,SeaBass
13/09/06,5,SeaBass
13/09/06,5,SeaBass
13/09/06,5,SeaBass
13/09/06,5,SeaBass
13/09/06,5,SeaBass
13/09/06,5.5,SeaBass
13/09/06,5.5,SeaBass
13/09/06,5.5,SeaBass
13/09/06,5.5,SeaBass
13/09/06,5.5,SeaBass
13/09/06,5.5,SeaBass
13/09/06,5.5,SeaBass
13/09/06,5.5,SeaBass
13/09/06,5.5,SeaBass
13/09/06,5.5,SeaBass
13/09/06,5.5,SeaBass
13/09/06,5.5,SeaBass
13/09/06,5.5,SeaBass
13/09/06,5.5,SeaBass
13/09/06,5.5,SeaBass
13/09/06,5.5,SeaBass
13/09/06,5.5,SeaBass
13/09/06,5.5,SeaBass
13/09/06,6,SeaBass
13/09/06,6,SeaBass
13/09/06,6,SeaBass
13/09/06,6,SeaBass
13/09/06,6,SeaBass
13/09/06,6,SeaBass
13/09/06,6,SeaBass
13/09/06,6,SeaBass
13/09/06,6,SeaBass
13/09/06,6,SeaBass
13/09/06,6,SeaBass
13/09/06,6,SeaBass
13/09/06,6,SeaBass
13/09/06,6,SeaBass
13/09/06,6,SeaBass
13/09/06,6,SeaBass
13/09/06,6,SeaBass
13/09/06,6,SeaBass
13/09/06,6,SeaBass
13/09/06,6,SeaBass
13/09/06,6,SeaBass
13/09/06,6,SeaBass
13/09/06,6,SeaBass
13/09/06,6,SeaBass
13/09/06,6,SeaBass
13/09/06,6,SeaBass
13/09/06,6,SeaBass
13/09/06,6.5,SeaBass
13/09/06,6.5,SeaBass
13/09/06,6.5,SeaBass
13/09/06,6.5,SeaBass
13/09/06,6.5,SeaBass
13/09/06,6.5,SeaBass
13/09/06,6.5,SeaBass
13/09/06,6.5,SeaBass
13/09/06,6.5,SeaBass
13/09/06,6.5,SeaBass
13/09/06,6.5,SeaBass
13/09/06,6.5,SeaBass
13/09/06,6.5,SeaBass
13/09/06,6.5,SeaBass
13/09/06,7,SeaBass
13/09/06,7,SeaBass
13/09/06,7,SeaBass
13/09/06,7,SeaBass
13/09/06,7,SeaBass
13/09/06,7,SeaBass
13/09/06,7,SeaBass
13/09/06,7,SeaBass
13/09/06,7,SeaBass
13/09/06,7,SeaBass
13/09/06,7,SeaBass
13/09/06,7,SeaBass
13/09/06,7,SeaBass
13/09/06,7.5,SeaBass
13/09/06,7.5,SeaBass
13/09/06,7.5,SeaBass
13/09/06,7.5,SeaBass
13/09/06,7.5,SeaBass
13/09/06,7.5,SeaBass
13/09/06,7.5,SeaBass
13/09/06,7.5,SeaBass
13/09/06,7.5,SeaBass
13/09/06,9.5,SeaBass
13/09/06,16.5,SeaBass
13/09/06,18.5,SeaBass
13/09/06,26.5,SeaBass
27/09/06,4,SeaBass
27/09/06,4.5,SeaBass
27/09/06,4.5,SeaBass
27/09/06,5,SeaBass
27/09/06,5.5,SeaBass
27/09/06,5.5,SeaBass
27/09/06,5.5,SeaBass
27/09/06,6,SeaBass
27/09/06,6,SeaBass
27/09/06,6,SeaBass
27/09/06,6,SeaBass
27/09/06,6,SeaBass
27/09/06,6,SeaBass
27/09/06,6,SeaBass
27/09/06,6,SeaBass
27/09/06,6,SeaBass
27/09/06,6.5,SeaBass
27/09/06,6.5,SeaBass
27/09/06,6.5,SeaBass
27/09/06,6.5,SeaBass
27/09/06,6.5,SeaBass
27/09/06,6.5,SeaBass
27/09/06,6.5,SeaBass
27/09/06,6.5,SeaBass
27/09/06,6.5,SeaBass
27/09/06,6.5,SeaBass
27/09/06,6.5,SeaBass
27/09/06,6.5,SeaBass
27/09/06,7,SeaBass
27/09/06,7,SeaBass
27/09/06,7,SeaBass
27/09/06,7,SeaBass
27/09/06,7,SeaBass
27/09/06,7,SeaBass
27/09/06,7,SeaBass
27/09/06,7,SeaBass
27/09/06,7,SeaBass
27/09/06,7,SeaBass
27/09/06,7.5,SeaBass
27/09/06,7.5,SeaBass
27/09/06,7.5,SeaBass
27/09/06,7.5,SeaBass
27/09/06,7.5,SeaBass
27/09/06,7.5,SeaBass
27/09/06,7.5,SeaBass
27/09/06,8,SeaBass
27/09/06,8,SeaBass
27/09/06,8,SeaBass
27/09/06,8,SeaBass
27/09/06,8.5,SeaBass
27/09/06,8.5,SeaBass
27/09/06,8.5,SeaBass
27/09/06,9,SeaBass
27/09/06,9,SeaBass
27/09/06,9,SeaBass
27/09/06,10,SeaBass
27/09/06,16,SeaBass
27/09/06,17.5,SeaBass
27/09/06,18.5,SeaBass
27/09/06,22,SeaBass
11/10/06,4,SeaBass
11/10/06,4.5,SeaBass
11/10/06,4.5,SeaBass
11/10/06,5,SeaBass
11/10/06,5,SeaBass
11/10/06,5.5,SeaBass
11/10/06,5.5,SeaBass
11/10/06,5.5,SeaBass
11/10/06,5.5,SeaBass
11/10/06,5.5,SeaBass
11/10/06,5.5,SeaBass
11/10/06,5.5,SeaBass
11/10/06,5.5,SeaBass
11/10/06,5.5,SeaBass
11/10/06,5.5,SeaBass
11/10/06,5.5,SeaBass
11/10/06,5.5,SeaBass
11/10/06,6,SeaBass
11/10/06,6,SeaBass
11/10/06,6,SeaBass
11/10/06,6,SeaBass
11/10/06,6,SeaBass
11/10/06,6,SeaBass
11/10/06,6,SeaBass
11/10/06,6,SeaBass
11/10/06,6,SeaBass
11/10/06,6,SeaBass
11/10/06,6,SeaBass
11/10/06,6,SeaBass
11/10/06,6,SeaBass
11/10/06,6,SeaBass
11/10/06,6,SeaBass
11/10/06,6,SeaBass
11/10/06,6,SeaBass
11/10/06,6,SeaBass
11/10/06,6,SeaBass
11/10/06,6.5,SeaBass
11/10/06,6.5,SeaBass
11/10/06,6.5,SeaBass
11/10/06,6.5,SeaBass
11/10/06,6.5,SeaBass
11/10/06,6.5,SeaBass
11/10/06,6.5,SeaBass
11/10/06,6.5,SeaBass
11/10/06,6.5,SeaBass
11/10/06,6.5,SeaBass
11/10/06,6.5,SeaBass
11/10/06,6.5,SeaBass
11/10/06,6.5,SeaBass
11/10/06,6.5,SeaBass
11/10/06,6.5,SeaBass
11/10/06,6.5,SeaBass
11/10/06,6.5,SeaBass
11/10/06,6.5,SeaBass
11/10/06,6.5,SeaBass
11/10/06,6.5,SeaBass
11/10/06,7,SeaBass
11/10/06,7,SeaBass
11/10/06,7,SeaBass
11/10/06,7,SeaBass
11/10/06,7,SeaBass
11/10/06,7,SeaBass
11/10/06,7,SeaBass
11/10/06,7,SeaBass
11/10/06,7,SeaBass
11/10/06,7,SeaBass
11/10/06,7,SeaBass
11/10/06,7,SeaBass
11/10/06,7,SeaBass
11/10/06,7,SeaBass
11/10/06,7,SeaBass
11/10/06,7,SeaBass
11/10/06,7,SeaBass
11/10/06,7,SeaBass
11/10/06,7,SeaBass
11/10/06,7,SeaBass
11/10/06,7,SeaBass
11/10/06,7,SeaBass
11/10/06,7.5,SeaBass
11/10/06,7.5,SeaBass
11/10/06,7.5,SeaBass
11/10/06,7.5,SeaBass
11/10/06,7.5,SeaBass
11/10/06,7.5,SeaBass
11/10/06,7.5,SeaBass
11/10/06,7.5,SeaBass
11/10/06,7.5,SeaBass
11/10/06,7.5,SeaBass
11/10/06,7.5,SeaBass
11/10/06,7.5,SeaBass
11/10/06,7.5,SeaBass
11/10/06,7.5,SeaBass
11/10/06,7.5,SeaBass
11/10/06,7.5,SeaBass
11/10/06,7.5,SeaBass
11/10/06,7.5,SeaBass
11/10/06,7.5,SeaBass
11/10/06,7.5,SeaBass
11/10/06,7.5,SeaBass
11/10/06,7.5,SeaBass
11/10/06,7.5,SeaBass
11/10/06,7.5,SeaBass
11/10/06,7.5,SeaBass
11/10/06,7.5,SeaBass
11/10/06,7.5,SeaBass
11/10/06,7.5,SeaBass
11/10/06,8,SeaBass
11/10/06,8,SeaBass
11/10/06,8,SeaBass
11/10/06,8,SeaBass
11/10/06,8,SeaBass
11/10/06,8,SeaBass
11/10/06,8,SeaBass
11/10/06,8,SeaBass
11/10/06,8,SeaBass
11/10/06,8,SeaBass
11/10/06,8,SeaBass
11/10/06,8,SeaBass
11/10/06,8,SeaBass
11/10/06,8,SeaBass
11/10/06,8,SeaBass
11/10/06,8,SeaBass
11/10/06,8,SeaBass
11/10/06,8,SeaBass
11/10/06,8,SeaBass
11/10/06,8.5,SeaBass
11/10/06,8.5,SeaBass
11/10/06,8.5,SeaBass
11/10/06,9,SeaBass
11/10/06,9,SeaBass
11/10/06,9,SeaBass
11/10/06,9,SeaBass
11/10/06,9,SeaBass
11/10/06,9,SeaBass
11/10/06,9,SeaBass
11/10/06,9,SeaBass
11/10/06,9,SeaBass
11/10/06,9,SeaBass
11/10/06,9,SeaBass
11/10/06,9.5,SeaBass
11/10/06,9.5,SeaBass
11/10/06,9.5,SeaBass
11/10/06,10,SeaBass
25/10/06,5,SeaBass
25/10/06,5,SeaBass
25/10/06,5.5,SeaBass
25/10/06,5.5,SeaBass
25/10/06,5.5,SeaBass
25/10/06,5.5,SeaBass
25/10/06,6,SeaBass
25/10/06,6,SeaBass
25/10/06,6,SeaBass
25/10/06,6,SeaBass
25/10/06,6,SeaBass
25/10/06,6,SeaBass
25/10/06,6,SeaBass
25/10/06,6,SeaBass
25/10/06,6,SeaBass
25/10/06,6,SeaBass
25/10/06,6,SeaBass
25/10/06,6,SeaBass
25/10/06,6,SeaBass
25/10/06,6,SeaBass
25/10/06,6,SeaBass
25/10/06,6,SeaBass
25/10/06,6.5,SeaBass
25/10/06,6.5,SeaBass
25/10/06,6.5,SeaBass
25/10/06,6.5,SeaBass
25/10/06,6.5,SeaBass
25/10/06,6.5,SeaBass
25/10/06,6.5,SeaBass
25/10/06,6.5,SeaBass
25/10/06,6.5,SeaBass
25/10/06,6.5,SeaBass
25/10/06,6.5,SeaBass
25/10/06,7,SeaBass
25/10/06,7,SeaBass
25/10/06,7,SeaBass
25/10/06,7,SeaBass
25/10/06,7,SeaBass
25/10/06,7,SeaBass
25/10/06,7,SeaBass
25/10/06,7,SeaBass
25/10/06,7,SeaBass
25/10/06,7,SeaBass
25/10/06,7,SeaBass
25/10/06,7,SeaBass
25/10/06,7,SeaBass
25/10/06,7,SeaBass
25/10/06,7,SeaBass
25/10/06,7,SeaBass
25/10/06,7.5,SeaBass
25/10/06,7.5,SeaBass
25/10/06,7.5,SeaBass
25/10/06,7.5,SeaBass
25/10/06,7.5,SeaBass
25/10/06,7.5,SeaBass
25/10/06,7.5,SeaBass
25/10/06,7.5,SeaBass
25/10/06,7.5,SeaBass
25/10/06,8,SeaBass
25/10/06,8,SeaBass
25/10/06,8,SeaBass
25/10/06,8,SeaBass
25/10/06,8,SeaBass
25/10/06,8,SeaBass
25/10/06,8,SeaBass
25/10/06,8,SeaBass
25/10/06,8,SeaBass
25/10/06,8,SeaBass
25/10/06,8,SeaBass
25/10/06,8.5,SeaBass
25/10/06,8.5,SeaBass
25/10/06,8.5,SeaBass
25/10/06,8.5,SeaBass
25/10/06,8.5,SeaBass
25/10/06,8.5,SeaBass
25/10/06,9,SeaBass
25/10/06,9.5,SeaBass
25/10/06,9.5,SeaBass
25/10/06,9.5,SeaBass
25/10/06,9.5,SeaBass
25/10/06,9.5,SeaBass
25/10/06,10,SeaBass
25/10/06,10,SeaBass
25/10/06,10,SeaBass
25/10/06,10,SeaBass
25/10/06,10.5,SeaBass
25/10/06,18.5,SeaBass
25/10/06,20,SeaBass
25/10/06,21,SeaBass
14/11/06,5,SeaBass
14/11/06,6,SeaBass
14/11/06,6,SeaBass
14/11/06,7,SeaBass
14/11/06,7,SeaBass
14/11/06,7,SeaBass
14/11/06,7.5,SeaBass
14/11/06,7.5,SeaBass
14/11/06,7.5,SeaBass
14/11/06,8,SeaBass
14/11/06,8,SeaBass
14/11/06,8,SeaBass
14/11/06,8,SeaBass
14/11/06,8,SeaBass
14/11/06,8.5,SeaBass
14/11/06,8.5,SeaBass
14/11/06,8.5,SeaBass
14/11/06,8.5,SeaBass
14/11/06,8.5,SeaBass
14/11/06,8.5,SeaBass
14/11/06,9,SeaBass
14/11/06,9,SeaBass
14/11/06,9,SeaBass
14/11/06,9,SeaBass
14/11/06,9.5,SeaBass
14/11/06,9.5,SeaBass
14/11/06,9.5,SeaBass
14/11/06,9.5,SeaBass
14/11/06,9.5,SeaBass
14/11/06,10,SeaBass
14/11/06,10,SeaBass
14/11/06,10,SeaBass
14/11/06,10,SeaBass
14/11/06,10,SeaBass
14/11/06,10.5,SeaBass
14/11/06,10.5,SeaBass
14/11/06,10.5,SeaBass
14/11/06,10.5,SeaBass
22/11/06,6,SeaBass
22/11/06,6,SeaBass
22/11/06,7,SeaBass
22/11/06,7,SeaBass
22/11/06,7.5,SeaBass
22/11/06,7.5,SeaBass
22/11/06,8,SeaBass
22/11/06,8,SeaBass
22/11/06,9,SeaBass
22/11/06,9.5,SeaBass
22/11/06,10.5,SeaBass
22/11/06,12,SeaBass
22/11/06,14.5,SeaBass
06/12/06,6,SeaBass
06/12/06,6,SeaBass
06/12/06,6,SeaBass
06/12/06,6,SeaBass
06/12/06,6.5,SeaBass
06/12/06,6.5,SeaBass
06/12/06,6.5,SeaBass
06/12/06,6.5,SeaBass
06/12/06,6.5,SeaBass
06/12/06,6.5,SeaBass
06/12/06,6.5,SeaBass
06/12/06,6.5,SeaBass
06/12/06,7,SeaBass
06/12/06,7,SeaBass
06/12/06,7,SeaBass
06/12/06,7,SeaBass
06/12/06,7,SeaBass
06/12/06,7,SeaBass
06/12/06,7,SeaBass
06/12/06,7.5,SeaBass
06/12/06,7.5,SeaBass
06/12/06,7.5,SeaBass
06/12/06,7.5,SeaBass
06/12/06,8,SeaBass
06/12/06,8,SeaBass
06/12/06,8.5,SeaBass
06/12/06,8.5,SeaBass
06/12/06,8.5,SeaBass
06/12/06,8.5,SeaBass
06/12/06,8.5,SeaBass
06/12/06,9,SeaBass
06/12/06,9.5,SeaBass
06/12/06,11,SeaBass
06/12/06,11.5,SeaBass
06/12/06,12,SeaBass
06/12/06,20,SeaBass
06/12/06,25.5,SeaBass
20/12/06,7.5,SeaBass
20/12/06,8,SeaBass
20/12/06,8.5,SeaBass
20/12/06,8.5,SeaBass
20/12/06,9,SeaBass
20/12/06,9,SeaBass
20/12/06,9.5,SeaBass
10/01/07,4.5,SeaBass
10/01/07,6,SeaBass
10/01/07,6,SeaBass
10/01/07,6.5,SeaBass
10/01/07,6.5,SeaBass
10/01/07,6.5,SeaBass
10/01/07,6.5,SeaBass
10/01/07,7,SeaBass
10/01/07,6.5,SeaBass
10/01/07,6.5,SeaBass
10/01/07,6.5,SeaBass
10/01/07,7,SeaBass
10/01/07,7.5,SeaBass
10/01/07,7.5,SeaBass
10/01/07,7.5,SeaBass
10/01/07,7.5,SeaBass
10/01/07,7.5,SeaBass
10/01/07,7.5,SeaBass
10/01/07,7.5,SeaBass
10/01/07,7.5,SeaBass
10/01/07,7.5,SeaBass
10/01/07,7.5,SeaBass
10/01/07,7.5,SeaBass
10/01/07,7.5,SeaBass
10/01/07,8,SeaBass
10/01/07,8,SeaBass
10/01/07,8,SeaBass
10/01/07,8,SeaBass
10/01/07,8,SeaBass
10/01/07,8,SeaBass
10/01/07,8,SeaBass
10/01/07,8,SeaBass
10/01/07,8,SeaBass
10/01/07,8,SeaBass
10/01/07,8,SeaBass
10/01/07,8,SeaBass
10/01/07,8,SeaBass
10/01/07,8.5,SeaBass
10/01/07,8.5,SeaBass
10/01/07,8.5,SeaBass
10/01/07,8.5,SeaBass
10/01/07,8.5,SeaBass
10/01/07,8.5,SeaBass
10/01/07,8.5,SeaBass
10/01/07,8.5,SeaBass
10/01/07,8.5,SeaBass
10/01/07,9,SeaBass
10/01/07,9,SeaBass
10/01/07,9,SeaBass
10/01/07,9,SeaBass
10/01/07,9,SeaBass
10/01/07,9,SeaBass
10/01/07,9,SeaBass
10/01/07,9,SeaBass
10/01/07,9,SeaBass
10/01/07,9,SeaBass
10/01/07,9,SeaBass
10/01/07,9,SeaBass
10/01/07,9,SeaBass
10/01/07,9.5,SeaBass
10/01/07,9.5,SeaBass
10/01/07,9.5,SeaBass
10/01/07,10,SeaBass
10/01/07,10,SeaBass
10/01/07,10,SeaBass
10/01/07,10,SeaBass
10/01/07,10,SeaBass
10/01/07,10,SeaBass
10/01/07,10.5,SeaBass
10/01/07,10.5,SeaBass
10/01/07,10.5,SeaBass
10/01/07,11,SeaBass
10/01/07,11,SeaBass
10/01/07,11.5,SeaBass
10/01/07,11.5,SeaBass
10/01/07,11.5,SeaBass
10/01/07,12,SeaBass
10/01/07,12,SeaBass
10/01/07,12,SeaBass
10/01/07,12.5,SeaBass
10/01/07,22,SeaBass
10/01/07,25,SeaBass
10/01/07,26.5,SeaBass
24/01/07,6,SeaBass
24/01/07,6,SeaBass
24/01/07,6.5,SeaBass
24/01/07,6.5,SeaBass
24/01/07,6.5,SeaBass
24/01/07,6.5,SeaBass
24/01/07,6.5,SeaBass
24/01/07,7,SeaBass
24/01/07,7,SeaBass
24/01/07,7,SeaBass
24/01/07,7,SeaBass
24/01/07,7,SeaBass
24/01/07,7,SeaBass
24/01/07,7,SeaBass
24/01/07,7,SeaBass
24/01/07,7,SeaBass
24/01/07,7.5,SeaBass
24/01/07,7.5,SeaBass
24/01/07,7.5,SeaBass
24/01/07,7.5,SeaBass
24/01/07,7.5,SeaBass
24/01/07,7.5,SeaBass
24/01/07,8,SeaBass
24/01/07,8,SeaBass
24/01/07,8,SeaBass
24/01/07,8,SeaBass
24/01/07,8,SeaBass
24/01/07,8,SeaBass
24/01/07,8,SeaBass
24/01/07,8,SeaBass
24/01/07,8,SeaBass
24/01/07,8,SeaBass
24/01/07,8,SeaBass
24/01/07,8,SeaBass
24/01/07,8.5,SeaBass
24/01/07,8.5,SeaBass
24/01/07,8.5,SeaBass
24/01/07,8.5,SeaBass
24/01/07,8.5,SeaBass
24/01/07,8.5,SeaBass
24/01/07,9,SeaBass
24/01/07,9,SeaBass
24/01/07,9,SeaBass
24/01/07,9,SeaBass
24/01/07,9,SeaBass
24/01/07,9,SeaBass
24/01/07,9,SeaBass
24/01/07,9,SeaBass
24/01/07,9,SeaBass
24/01/07,9,SeaBass
24/01/07,9,SeaBass
24/01/07,9,SeaBass
24/01/07,9,SeaBass
24/01/07,9,SeaBass
24/01/07,9.5,SeaBass
24/01/07,9.5,SeaBass
24/01/07,9.5,SeaBass
24/01/07,9.5,SeaBass
24/01/07,10,SeaBass
24/01/07,10,SeaBass
24/01/07,10,SeaBass
24/01/07,10,SeaBass
24/01/07,10,SeaBass
24/01/07,10,SeaBass
24/01/07,10,SeaBass
24/01/07,10,SeaBass
24/01/07,10,SeaBass
24/01/07,10,SeaBass
24/01/07,10.5,SeaBass
24/01/07,11,SeaBass
24/01/07,11.5,SeaBass
24/01/07,12,SeaBass
24/01/07,24,SeaBass
24/01/07,26.5,SeaBass
07/02/07,5.5,SeaBass
07/02/07,6,SeaBass
07/02/07,6.5,SeaBass
07/02/07,7,SeaBass
07/02/07,7.5,SeaBass
07/02/07,8,SeaBass
07/02/07,8.5,SeaBass
07/02/07,9,SeaBass
07/02/07,9.5,SeaBass
07/02/07,10,SeaBass
07/02/07,10.5,SeaBass
07/02/07,11,SeaBass
07/02/07,11.5,SeaBass
07/02/07,12,SeaBass
07/02/07,12.5,SeaBass
07/02/07,13,SeaBass
07/02/07,13.5,SeaBass
07/02/07,14,SeaBass
07/02/07,14.5,SeaBass
07/02/07,15,SeaBass
07/02/07,15.5,SeaBass
07/02/07,16,SeaBass
07/02/07,16.5,SeaBass
07/02/07,17,SeaBass
07/02/07,17.5,SeaBass
07/02/07,18,SeaBass
07/02/07,18.5,SeaBass
07/02/07,19,SeaBass
